iter	RMSE
124	27379.99564
125	27319.67625
126	27247.46059
127	27197.88836
128	27135.2722
129	27015.93072
130	26939.66856
131	26822.12462
132	26768.97107
133	26705.17344
134	26653.49213
135	26604.99103
136	26493.47711
137	26434.38565
138	26397.34693
139	26319.95966
140	26259.8023
141	26203.47517
142	26157.1383
143	26028.86898
144	25950.58303
145	25890.15657
146	25839.37524
147	25754.01874
148	25642.23713
149	25592.46727
150	25547.32126
151	25472.25857
152	25420.15637
153	25329.24245
154	25264.95086
155	25183.64597
156	25127.08404
157	25082.89825
158	25043.55152
159	24981.9696
160	24910.9897
161	24854.64848
162	24812.03559
163	24696.36794
164	24648.56931
165	24595.51528
166	24543.98761
167	24493.35308
168	24471.4661
169	24425.98863
170	24373.03896
171	24331.74258
172	24273.61631
173	24232.16663
174	24187.33895
175	24105.45686
176	24043.4772
177	23989.01942
178	23956.02658
179	23942.0649
180	23925.06718
181	23902.56731
182	23897.43682
183	23834.28845
184	23794.43029
185	23716.59064
186	23682.63116
187	23678.55736
188	23647.4377
189	23620.42777
190	23613.19458
191	23565.43526
192	23512.44606
193	23462.81268
194	23428.27783
195	23416.2893
196	23361.42708
197	23356.22924
198	23352.07412
199	23298.65938
200	23273.7175
201	23227.93055
202	23223.77594
203	23158.93266
204	23105.90442
205	23102.21272
206	23062.68285
207	23058.87085
208	23025.49934
209	23021.8399
210	23018.60997
211	22939.23189
212	22888.19488
213	22830.07653
214	22776.23829
215	22723.93591
216	22720.94945
217	22697.57926
218	22695.2934
219	22609.78855
220	22605.92295
221	22538.72109
222	22533.15738
223	22530.26393
224	22451.22806
225	22407.39138
226	22331.04623
227	22328.48083
228	22284.1623
229	22216.64157
230	22211.56117
231	22197.61138
232	22167.07723
233	22164.2767
234	22143.73203
235	22121.14282
236	22118.99161
237	22076.04942
238	22047.70296
239	22041.89041
240	22039.1213
241	21998.0292
242	21968.0204
243	21929.2317
244	21926.56937
245	21910.29835
246	21864.19914
247	21819.45631
248	21801.75364
249	21765.13686
250	21719.68282
251	21685.49445
252	21681.01985
253	21632.06637
254	21610.03712
255	21575.31807
256	21539.35986
257	21499.27413
258	21482.22794
259	21443.73316
260	21408.77027
261	21389.48757
262	21359.32925
263	21325.351
264	21280.27314
265	21271.40022
266	21232.65697
267	21183.62674
268	21156.7733
269	21122.57821
270	21116.76988
271	21078.96633
272	21062.64548
273	21014.66791
274	20987.09615
275	20938.40701
276	20909.37202
277	20879.55614
278	20846.01241
279	20816.77286
280	20773.6632
281	20740.58838
282	20701.72985
283	20658.54106
284	20641.09457
285	20626.44243
286	20607.67633
287	20580.53717
288	20544.11223
289	20529.2035
290	20497.886
291	20484.07723
292	20465.44261
293	20426.83562
294	20416.14993
295	20401.93527
296	20374.06938
297	20337.52927
298	20301.14566
299	20287.06367
300	20272.8418
301	20245.69807
302	20216.65097
303	20199.72009
304	20166.9563
305	20158.25306
306	20135.6674
307	20102.47451
308	20090.77235
309	20044.8795
310	20006.90378
311	19995.23983
312	19980.42182
313	19934.13097
314	19916.48558
315	19883.61937
316	19857.40517
317	19805.20525
318	19788.27503
319	19751.66736
320	19715.73595
321	19705.53879
322	19676.92855
323	19641.4456
324	19630.42399
325	19614.84997
326	19604.23478
327	19582.37615
328	19566.05433
329	19528.34066
330	19504.15107
331	19471.80873
332	19434.39388
333	19412.01885
334	19394.51049
335	19380.332
336	19348.83323
337	19338.94221
338	19313.58163
339	19291.31576
340	19270.33355
341	19260.99095
342	19220.67788
343	19197.02548
344	19185.40651
345	19172.76131
346	19127.77808
347	19093.11402
348	19078.43162
349	19070.14995
350	19041.00365
351	19029.09646
352	19019.58256
353	19018.13588
354	19008.64146
355	18977.26195
356	18954.1421
357	18940.27258
358	18923.75445
359	18896.93422
360	18877.23466
361	18847.71974
362	18830.82313
363	18796.31494
364	18765.21567
365	18759.4648
366	18756.84015
367	18747.01393
368	18721.39872
369	18696.0644
370	18656.22467
371	18638.54747
372	18619.3421
373	18589.66065
374	18565.76898
375	18549.48049
376	18530.80795
377	18504.15938
378	18481.64079
379	18468.26585
380	18447.77599
381	18424.31529
382	18395.92951
383	18385.83631
384	18361.23073
385	18340.95113
386	18330.82443
387	18298.66168
388	18278.67009
389	18258.3999
390	18244.14251
391	18241.7576
392	18228.78777
393	18206.38037
394	18185.53124
395	18169.84211
396	18150.13735
397	18118.60811
398	18091.38751
399	18070.57285
400	18066.33239
401	18040.82567
402	18033.54937
403	18008.26005
404	17982.31718
405	17980.34365
406	17951.16052
407	17948.4058
408	17915.74265
409	17911.88824
410	17910.70005
411	17893.68293
412	17875.52525
413	17837.28989
414	17806.93601
415	17782.00972
416	17764.6016
417	17739.05797
418	17717.96552
419	17700.48541
420	17686.73387
421	17665.58892
422	17646.34554
423	17627.64751
424	17613.60919
425	17576.5371
426	17540.80707
427	17532.98418
428	17517.34326
429	17501.68313
430	17479.00205
431	17444.52307
432	17435.71319
433	17413.90364
434	17403.03493
435	17400.50735
436	17387.30231
437	17386.16191
438	17382.46663
439	17363.98262
440	17339.86839
441	17323.60894
442	17322.50476
443	17296.89213
444	17274.86987
445	17273.80993
446	17250.70432
447	17223.41327
448	17185.95849
449	17175.32214
450	17154.69672
451	17129.15781
452	17112.12778
453	17097.05044
454	17079.73079
455	17057.47942
456	17028.35866
457	17011.41942
458	16994.3702
459	16975.94463
460	16966.27139
461	16939.19202
462	16930.28865
463	16904.924
464	16883.80728
465	16855.41984
466	16831.55972
467	16830.37091
468	16818.80844
469	16796.96439
470	16774.97697
471	16758.00908
472	16742.54197
473	16736.15793
474	16708.76563
475	16692.15209
476	16675.16893
477	16655.6374
478	16633.25426
479	16628.79487
480	16612.91231
481	16599.03263
482	16582.9227
483	16579.08537
484	16564.478
485	16556.52768
486	16553.20647
487	16528.00791
488	16508.07159
489	16500.46595
490	16478.3971
491	16464.72299
492	16457.21845
493	16456.27376
494	16440.59735
495	16426.57371
496	16423.31038
497	16404.36795
498	16393.18711
499	16386.03982
